Time [s],Pressure [cmH2O],Flow [L/s],V_tidal [L],Chest [mm],Abd [mm],InspInd
0.4,-3.17427326784291,1.00134498556914,0.247803845842511,1162.48784602372,1126.45041886912,0
0.41,-3.17427326784291,1.00267214981702,0.257823931519442,1162.58356642488,1126.48255576662,0
0.42,-3.17427326784291,1.009501370053,0.267884799118792,1162.77500722721,1126.51469266413,0
0.43,-3.17427326784291,1.01059853521765,0.277985298645145,1162.87072762837,1126.51469266413,0
0.44,-3.17427326784291,1.01081782534397,0.288092380447953,1162.96644802954,1126.51469266413,0
0.45,-3.17427326784291,1.03122290560417,0.298302584102694,1163.09407523109,1126.54682956164,0
0.46,-3.17427326784291,1.02907138457559,0.308604055553593,1163.25360923303,1126.54682956164,0
0.47,-3.17427326784291,1.03014770678651,0.318900151010403,1163.34932963419,1126.54682956164,0
0.48,-3.17427326784291,1.02540343841762,0.329177906736424,1163.47695683575,1126.57896645914,0
0.49,-3.17427326784291,1.01781016344028,0.339393974745713,1163.57267723691,1126.57896645914,0
0.5,-3.17427326784291,1.03786427685073,0.349672346947168,1163.73221123885,1126.61110335665,0
0.51,-3.17427326784291,1.04382661555258,0.360080801409185,1163.89174524079,1126.61110335665,0
0.52,-3.17427326784291,1.06276474431052,0.3706137582085,1164.05127924273,1126.61110335665,0
0.53,-3.17427326784291,1.0550202205337,0.381202683032721,1164.21081324467,1126.61110335665,0
0.54,-3.17427326784291,1.02885598501602,0.39162206406047,1164.402254047,1126.64324025415,0
0.55,-3.17427326784291,1.07148799387067,0.402123783954904,1164.59369484933,1126.64324025415,0
0.56,-3.17427326784291,1.05586020491878,0.412760524948851,1164.75322885127,1126.64324025415,0
0.57,-3.17427326784291,1.08178110237742,0.423448731485332,1164.94466965359,1126.67537715166,0
0.58,-3.17427326784291,1.04573586204993,0.434086316307469,1165.10420365554,1126.67537715166,0
0.59,-3.17427326784291,1.06962471510697,0.444663119193253,1165.26373765748,1126.70751404917,0
0.6,-3.17427326784291,1.0778813001111,0.455400649269343,1165.42327165942,1126.73965094667,0
0.61,-3.17427326784291,1.03508437372293,0.465965477638513,1165.58280566136,1126.77178784418,0
0.62,-3.17427326784291,1.06568042810025,0.476469301647629,1165.7423396633,1126.8681985367,0
0.63,-3.17427326784291,1.05963189458124,0.487095863261037,1165.90187366524,1126.96460922922,0
0.64,-3.17427326784291,1.0545999774497,0.497667022621192,1166.09331446756,1127.02888302423,0
0.65,-3.17427326784291,1.07499870885627,0.508315016052721,1166.28475526989,1127.02888302423,0
0.66,-3.17427326784291,1.05816672385336,0.518980843216269,1166.50810287261,1127.02888302423,0
0.67,-3.17427326784291,1.06088614464892,0.529576107558781,1166.73145047532,1127.02888302423,0
0.68,-3.17427326784291,1.07499870885627,0.540255531826307,1166.95479807804,1127.02888302423,0
0.69,-3.17427326784291,1.09116501012297,0.551086350421203,1167.11433207998,1127.06101992173,0
0.7,-3.17427326784291,1.101274221876,0.562048546581198,1167.27386608192,1127.06101992173,0
0.71,-3.17427326784291,1.08300970141322,0.572969966197644,1167.46530688425,1127.06101992173,0
0.72,-3.17427326784291,1.0864831873475,0.583817430641448,1167.65674768658,1127.06101992173,0
0.73,-3.17427326784291,1.10067028751642,0.594753198015767,1167.8481884889,1127.09315681924,0
0.74,-3.17427326784291,1.06671981235989,0.605590148515149,1168.00772249084,1127.09315681924,0
0.75,-3.17427326784291,1.05858555099181,0.616216675331907,1168.19916329317,1127.22170440927,0
0.76,-3.17427326784291,1.06838072393386,0.626851506706536,1168.3906040955,1127.28597820428,0
0.77,-3.17427326784291,1.03786427685073,0.637382731710458,1168.58204489783,1127.31811510178,0
0.78,-3.17427326784291,1.04615966586147,0.647802851424019,1168.83729930093,1127.35025199929,0
0.79,-3.17427326784291,1.02842505055313,0.658175775006092,1169.09255370404,1127.35025199929,0
0.8,-3.17427326784291,1.0431894235415,0.668533847376566,1169.34780810714,1127.35025199929,0
0.81,-3.17427326784291,1.0846456686621,0.679173022837584,1169.53924890947,1127.35025199929,0
0.82,-3.17427326784291,1.07169482487229,0.689954725305255,1169.79450331257,1127.35025199929,0
0.83,-3.17427326784291,1.06025920508192,0.700614495455026,1170.04975771568,1127.3823888968,0
0.84,-3.17427326784291,1.06109504218854,0.711221266691379,1170.27310531839,1127.3823888968,0
0.85,-3.17427326784291,1.0467950498653,0.721760717151648,1170.49645292111,1127.51093648682,0
0.86,-3.17427326784291,1.04382661555258,0.732213825478737,1170.68789372344,1127.60734717934,0
0.87,-3.17427326784291,1.07602909221259,0.742813104017563,1170.87933452577,1127.63948407685,0
0.88,-3.17427326784291,1.06713528260441,0.753528925891648,1171.07077532809,1127.67162097435,0
0.89,-3.17427326784291,1.06962471510697,0.764212725880205,1171.26221613042,1127.67162097435,0
0.9,-3.17427326784291,1.07664684889473,0.774944083700213,1171.45365693275,1127.70375787186,0
0.91,-3.17427326784291,1.06505631066569,0.785652599498015,1171.67700453547,1127.70375787186,0
0.92,-3.17427326784291,1.08423690826746,0.796399065592681,1171.90035213818,1127.70375787186,0
0.93,-3.17427326784291,1.06775818485569,0.807159041058297,1172.09179294051,1127.73589476936,0
0.94,-3.17427326784291,1.05333824222928,0.817764523193722,1172.31514054323,1127.8965792569,0
0.95,-3.17427326784291,1.04806466227839,0.82827153771626,1172.50658134556,1127.99298994941,0
0.96,-3.17427326784291,1.05523027931538,0.838788012424229,1172.69802214788,1128.08940064193,0
0.97,-3.17427326784291,1.04021069995569,0.849265217320584,1172.88946295021,1128.12153753944,0
0.98,-3.17427326784291,1.05690924661313,0.859750817053428,1173.08090375254,1128.15367443695,0
0.99,-3.17427326784291,1.06775818485569,0.870374154210773,1173.27234455487,1128.15367443695,0
1,-3.17427326784291,1.06025920508192,0.881014241160461,1173.43187855681,1128.18581133445,0
1.01,-3.17427326784291,1.06983190633702,0.891664696717555,1173.59141255875,1128.34649582198,0
1.02,-3.17427326784291,1.04361426144286,0.902231927556455,1173.75094656069,1128.47504341201,0
1.03,-3.17427326784291,1.06505631066569,0.912775280416997,1173.87857376224,1128.57145410453,0
1.04,-3.17427326784291,1.05963189458124,0.923398721443232,1174.07001456457,1128.63572789954,0
1.05,-3.17427326784291,1.05690924661313,0.933981427149204,1174.2614553669,1128.70000169455,0
1.06,-3.17427326784291,1.07086726117754,0.944620309688157,1174.45289616923,1128.73213859206,0
1.07,-3.17427326784291,1.05984103933697,0.95527385119073,1174.58052337078,1128.76427548956,0
1.08,-3.17427326784291,1.0467950498653,0.965807031636741,1174.74005737272,1128.89282307959,0
1.09,-3.17427326784291,1.0805511064113,0.976443762418124,1174.86768457427,1128.98923377211,0
1.1,-3.17427326784291,1.05690924661313,0.987131064183246,1175.02721857621,1129.05350756712,0
1.11,-3.17427326784291,1.07685268903597,0.997799873861491,1175.15484577776,1129.08564446463,0
1.12,-3.17427326784291,1.03829129364594,1.0083755937749,1175.28247297931,1129.21419205465,0
1.13,-3.17427326784291,1.06255617503281,1.01887983111829,1175.44200698125,1129.31060274717,0
1.14,-3.17427326784291,1.04552389572322,1.02942023147207,1175.56963418281,1129.43915033719,0
1.15,-3.17427326784291,1.0414883389633,1.03985529264551,1175.69726138436,1129.56769792722,0
1.16,-3.17427326784291,1.04552389572322,1.05029035381894,1175.76107498513,1129.69624551724,0
1.17,-3.17427326784291,1.05102112700138,1.06077307893256,1175.79298178552,1129.79265620976,0
1.18,-3.17427326784291,1.02842505055313,1.07117030982034,1175.88870218669,1129.88906690228,0
1.19,-3.17427326784291,1.05059928426835,1.08156543149444,1175.98442258785,1129.9854775948,0
1.2,-3.17427326784291,1.01868083097626,1.09191183207067,1176.1120497894,1130.08188828732,0
1.21,-3.17427326784291,1.02215608484375,1.10211601664977,1176.27158379134,1130.14616208233,0
1.22,-3.17427326784291,1.03615444986285,1.1124075693233,1176.46302459367,1130.27470967236,0
1.23,-3.17427326784291,1.02648360667078,1.12272075960597,1176.62255859561,1130.43539415989,0
1.24,-3.17427326784291,1.01628470039604,1.1329346011413,1176.71827899677,1130.62821554492,0
1.25,-3.17427326784291,1.03679596542314,1.1432000044704,1176.78209259755,1130.82103692996,0
1.26,-3.17427326784291,1.01781016344028,1.15347303511471,1176.81399939794,1131.013858315,0
1.27,-3.17427326784291,1.02150537533387,1.16366961280859,1176.84590619833,1131.17454280253,0
1.28,-3.17427326784291,1.03743708429225,1.17396432510672,1176.9097197991,1131.33522729006,0
1.29,-3.17427326784291,1.00377677959987,1.18417039442618,1177.03734700065,1131.43163798258,0
1.3,-3.17427326784291,1.03679596542314,1.19437325815129,1177.1968810026,1131.5280486751,0
1.31,-3.17427326784291,1.01541197829399,1.20463429786988,1177.32450820415,1131.5601855726,0
1.32,-3.17427326784291,1.0141014869177,1.21478186519594,1177.42022860531,1131.5601855726,0
1.33,-3.17427326784291,1.01846323387221,1.22494468879988,1177.48404220609,1131.59232247011,0
1.34,-3.17427326784291,1.02150537533387,1.23514453184592,1177.57976260725,1131.72087006013,0
1.35,-3.17427326784291,1.02540343841762,1.24537907591467,1177.67548300842,1132.0743759327,0
1.36,-3.17427326784291,1.00001605998616,1.25550617340669,1177.80311020997,1132.36360801026,0
1.37,-3.17427326784291,1.02583564220432,1.26563543191764,1177.96264421191,1132.5564293953,0
1.38,-3.17427326784291,1.01366427996186,1.27583293152847,1178.09027141346,1132.74925078033,0
1.39,-3.17427326784291,1.00001605998616,1.28590133322821,1178.15408501424,1132.97420906288,0
1.4,-3.17427326784291,1.00200878742234,1.29591145746526,1178.18599181462,1133.16703044791,0
1.41,-3.17427326784291,0.999350934498548,1.30591825607486,1178.18599181462,1133.29557803794,0
1.42,-3.17427326784291,0.990216111600166,1.31586609130536,1178.21789861501,1133.42412562796,0
1.43,-3.17427326784291,1.00222995700618,1.32582832164839,1178.28171221579,1133.52053632048,0
1.44,-3.17427326784291,0.995128149512109,1.33581511218098,1178.37743261695,1133.64908391051,0
1.45,-3.17427326784291,0.985054610031684,1.3457160259787,1178.56887341928,1133.80976839804,0
1.46,-3.17427326784291,0.958367996547882,1.3554331390116,1178.85603462277,1134.06686357809,0
1.47,-3.17427326784291,0.976920992393601,1.3651095839563,1179.01556862471,1134.35609565564,0
1.48,-3.17427326784291,0.977601378541588,1.37488219581098,1179.0474754251,1134.6453277332,0
1.49,-3.17427326784291,0.964132321329991,1.38459086431034,1179.0474754251,1134.93455981075,0
1.5,-3.17427326784291,1.00708339922742,1.39444694291312,1179.07938222549,1135.1916549908,0
1.51,-3.17427326784291,0.96021634541363,1.40428344163633,1179.07938222549,1135.44875017085,0
1.52,-3.17427326784291,0.975785961230283,1.41396345316955,1179.07938222549,1135.6737084534,0
1.53,-3.17427326784291,0.982125240642545,1.42375300917891,1179.17510262665,1135.93080363345,0
1.54,-3.17427326784291,0.956979392104643,1.43344853234265,1179.3027298282,1136.09148812098,0
1.55,-3.17427326784291,0.981222136781995,1.44313953998708,1179.49417063053,1136.28430950602,0
1.56,-3.17427326784291,0.979639701710663,1.45294384917954,1179.71751823325,1136.47713089105,0
1.57,-3.17427326784291,0.951870511484693,1.46260140024552,1179.8451454348,1136.7020891736,0
1.58,-3.17427326784291,0.96021634541363,1.47216183453001,1179.94086583596,1136.89491055863,0
1.59,-3.17427326784291,0.936139912165148,1.48164361581791,1180.03658623713,1137.15200573868,0
1.6,-3.17427326784291,0.944624737403137,1.49104743906575,1180.13230663829,1137.44123781624,0
1.61,-3.17427326784291,0.953963815076586,1.50054038182815,1180.16421343868,1137.73046989379,0
1.62,-3.17427326784291,0.939448672485679,1.51000744426596,1180.16421343868,1138.01970197135,0
1.63,-3.17427326784291,0.950005924950906,1.51945471725314,1180.19612023907,1138.30893404891,0
1.64,-3.17427326784291,0.939920401700687,1.5289043488864,1180.19612023907,1138.59816612646,0
1.65,-3.17427326784291,0.947202163032458,1.53833996171007,1180.19612023907,1138.82312440901,0
1.66,-3.17427326784291,0.95117171987345,1.54783183112459,1180.29184064023,1139.08021958905,0
1.67,-3.17427326784291,0.941098690243682,1.55729318317518,1180.45137464217,1139.3051778716,0
1.68,-3.17427326784291,0.956979392104643,1.56678357358692,1180.6428154445,1139.53013615414,0
1.69,-3.17427326784291,0.947436126766551,1.57630565118128,1180.83425624683,1139.72295753918,0
1.7,-3.17427326784291,0.93590312452707,1.58572234743775,1180.89806984761,1139.88364202671,0
1.71,-3.17427326784291,0.936139912165148,1.59508256262121,1180.92997664799,1140.01218961673,0
1.72,-3.17427326784291,0.912399883216666,1.60432526159812,1180.92997664799,1140.17287410427,0
1.73,-3.17427326784291,0.908260889755876,1.61342856546298,1180.92997664799,1140.3656954893,0
1.74,-3.17427326784291,0.917728518229998,1.62255851250291,1180.96188344838,1140.62279066935,0
1.75,-3.17427326784291,0.913128346313321,1.63171279682563,1180.99379024877,1140.8477489519,0
1.76,-3.17427326784291,0.896471173382782,1.64076079442411,1181.05760384955,1141.10484413195,0
1.77,-3.17427326784291,0.887526115300798,1.64968078086752,1181.1852310511,1141.361939312,0
1.78,-3.17427326784291,0.887775806152637,1.65855729047479,1181.40857865381,1141.58689759454,0
1.79,-3.17427326784291,0.895481690549923,1.6674735779583,1181.63192625653,1141.81185587708,0
1.8,-3.17427326784291,0.880757705510939,1.67635477493861,1181.79146025847,1142.03681415963,0
1.81,-3.17427326784291,0.884273718315448,1.68517993205774,1181.82336705886,1142.26177244217,0
1.82,-3.17427326784291,0.870379108898143,1.69395319619381,1181.82336705886,1142.45459382721,0
1.83,-3.17427326784291,0.862191939441041,1.7026160514355,1181.82336705886,1142.64741521224,0
1.84,-3.17427326784291,0.879498580198798,1.7113245040337,1181.82336705886,1142.74382590476,0
1.85,-3.17427326784291,0.860648174658422,1.72002523780799,1181.82336705886,1142.9366472898,0
1.86,-3.17427326784291,0.858069061353742,1.72861882398805,1181.82336705886,1143.03305798232,0
1.87,-3.17427326784291,0.881260851913308,1.73731547355439,1181.88718065963,1143.29015316237,0
1.88,-3.17427326784291,0.861420402875384,1.74602887982833,1181.95099426041,1143.51511144491,0
1.89,-3.17427326784291,0.863732945030657,1.75465464656786,1181.9829010608,1143.64365903494,0
1.9,-3.17427326784291,0.843217495701621,1.76318939877152,1182.04671466157,1143.83648041997,0
1.91,-3.17427326784291,0.815151333746255,1.77148124291876,1182.27006226429,1143.93289111249,0
1.92,-3.17427326784291,0.825955666406998,1.77968677791953,1182.58913026817,1144.02930180501,0
1.93,-3.17427326784291,0.820030899778165,1.78791671075045,1182.94010507244,1144.12571249753,0
1.94,-3.17427326784291,0.7995029255188,1.79601437987694,1183.13154587477,1144.12571249753,0
1.95,-3.17427326784291,0.81106260373212,1.80406720752319,1183.19535947554,1144.15784939504,0
1.96,-3.17427326784291,0.786929144654333,1.81205716626512,1183.19535947554,1144.15784939504,0
1.97,-3.17427326784291,0.805303506476237,1.82001832952078,1183.19535947554,1144.18998629254,0
1.98,-3.17427326784291,0.780140268880849,1.82794554839756,1183.19535947554,1144.41494457508,0
1.99,-3.17427326784291,0.773578358152297,1.83571414153273,1183.19535947554,1144.86486114017,0
2,-3.17427326784291,0.77214447673762,1.84344275570718,1183.22726627593,1145.21836701274,0
2.01,-3.17427326784291,0.779287500979175,1.85119991559576,1183.29107987671,1145.44332529528,0
2.02,-3.17427326784291,0.777579159499622,1.85898424889815,1183.45061387865,1145.66828357783,0
2.03,-3.17427326784291,0.775295515333239,1.86674862227232,1183.70586828175,1145.89324186037,0
2.04,-3.17427326784291,0.783259141197154,1.87454139555497,1184.08874988641,1146.08606324541,0
2.05,-3.17427326784291,0.757363838492084,1.88224451045342,1184.28019068874,1146.11820014291,0
2.06,-3.17427326784291,0.764065014762057,1.88985165471969,1184.40781789029,1146.11820014291,0
2.07,-3.17427326784291,0.760867467857525,1.89747631713279,1184.50353829145,1146.11820014291,0
2.08,-3.17427326784291,0.744971385085265,1.9050055113975,1184.631165493,1146.11820014291,0
2.09,-3.17427326784291,0.764644950340626,1.91255359307463,1184.72688589417,1146.15033704042,0
2.1,-3.17427326784291,0.757071137480768,1.92016217351374,1184.72688589417,1146.18247393793,0
2.11,-3.17427326784291,0.759409586717688,1.92774457713473,1184.72688589417,1146.47170601548,0
2.12,-3.17427326784291,0.74109362981904,1.93524709321741,1184.75879269456,1146.82521188805,0
2.13,-3.10644691596592,0.727511043869191,1.94259011658585,1184.75879269456,1146.98589637558,0
2.14,-2.87971311112,0.692229772265193,1.94968882066653,1184.79069949494,1146.98589637558,0
2.15,-2.80801096770719,0.677341370177965,1.95653667637874,1184.85451309572,1146.98589637558,0
2.16,-2.73630882429437,0.666123055964334,1.96325399850945,1185.01404709766,1146.98589637558,0
2.17,-2.69173722163236,0.670765084641261,1.96993843921248,1185.30120830115,1146.98589637558,0
2.18,-2.65685509780991,0.64550759104439,1.97651980259091,1185.68408990581,1147.01803327309,0
2.19,-2.59678032900458,0.653017715207461,1.98301242912217,1186.00315790969,1147.05017017059,0
2.2,-2.61034559937997,0.659434904070522,1.98957469221856,1186.03506471008,1147.33940224815,0
2.21,-2.53864345596716,0.637561516379441,1.99605967432081,1186.03506471008,1147.72504501822,0
2.22,-2.56964978825378,0.644132706435388,2.00246814543488,1186.03506471008,1147.98214019827,0
2.23,-2.51345081098428,0.661113285263342,2.00899437539338,1186.03506471008,1148.17496158331,0
2.24,-2.55608451787839,0.635820968451703,2.01547904666195,1186.03506471008,1148.20709848082,0
2.25,-2.55027083057464,0.644132706435388,2.02187881503639,1186.06697151047,1148.20709848082,0
2.26,-2.54058135173507,0.639643922086563,2.028297698179,1186.06697151047,1148.20709848082,0
2.27,-2.51538870675219,0.644132706435388,2.03471658132161,1186.09887831085,1148.20709848082,0
2.28,-2.46500341678643,0.632675915521934,2.04110062443139,1186.16269191163,1148.20709848082,0
2.29,-2.474692895626,0.635472286786625,2.04744136544294,1186.22650551241,1148.23923537832,0
2.3,-2.45337604217895,0.624921377296917,2.05374333376335,1186.35413271396,1148.27137227583,0
2.31,-2.43399708449981,0.634425091974386,2.06004006610971,1186.54557351629,1148.27137227583,0
2.32,-2.41268023105276,0.633026137478189,2.06637732225697,1186.96036192133,1148.56060435339,0
2.33,-2.27121383999505,0.605832539076311,2.07257161563974,1187.37515032637,1148.81769953343,0
2.34,-2.19176011351058,0.601794834029198,2.07860975250527,1187.69421833025,1148.94624712346,0
2.35,-2.06773478436409,0.579658261366966,2.08451701798225,1187.85375233219,1148.97838402097,0
2.36,-1.97665368327214,0.551441548344176,2.09017251703081,1187.85375233219,1148.97838402097,0
2.37,-1.86037993719731,0.539248997930525,2.09562596976218,1187.85375233219,1148.97838402097,0
2.38,-1.76542304456953,0.529711354268715,2.10097077152318,1187.85375233219,1148.97838402097,0
2.39,-1.72860302497917,0.527615139657691,2.10625740399281,1187.85375233219,1148.97838402097,0
2.4,-1.65302509003053,0.507050743458848,2.11143073340839,1187.85375233219,1148.97838402097,0
2.41,-1.62977034081556,0.505737705233707,2.11649467565186,1187.85375233219,1149.01052091847,0
2.42,-1.60263980006476,0.509231616936107,2.1215695222627,1187.85375233219,1149.04265781598,0
2.43,-1.69953458846046,0.516148492269398,2.12669642280873,1187.88565913258,1149.10693161099,0
2.44,-1.70922406730003,0.5182910855081,2.13186862069762,1187.88565913258,1149.46043748356,0
2.45,-1.7189135461396,0.520424857748316,2.1370622004139,1187.88565913258,1149.81394335613,0
2.46,-1.69953458846046,0.527194896548674,2.14230029918539,1187.91756593297,1149.94249094615,0
2.47,-1.61232927890433,0.50836039026392,2.14747807561945,1187.91756593297,1150.07103853618,0
2.48,-1.4960555328295,0.481030571583505,2.15242503042869,1187.91756593297,1150.07103853618,0
2.49,-1.37978178675467,0.456928114364835,2.15711482385843,1187.91756593297,1150.07103853618,0
2.5,-1.25381856184027,0.439623269380348,2.16159758077715,1187.98137953375,1150.07103853618,0
2.51,-1.09878690040716,0.410960342713946,2.16585049883763,1188.01328633413,1150.07103853618,0
2.52,-0.965072092421104,0.381887440921505,2.1698147377558,1188.04519313452,1150.07103853618,0
2.53,-0.786785681773028,0.339487744624071,2.17342161368353,1188.04519313452,1150.07103853618,0
2.54,-0.592996104981642,0.294005011117929,2.17658907746224,1188.04519313452,1150.07103853618,0
2.55,-0.439902339316447,0.243719246205797,2.17927769874886,1188.04519313452,1150.07103853618,0
2.56,-0.343007550920754,0.204127423462878,2.1815169320972,1188.04519313452,1150.07103853618,0
2.57,-0.273243303275855,0.168433089202942,2.18337973466053,1188.04519313452,1150.07103853618,0
2.58,-0.207354847166783,0.128067310483255,2.18486223665896,1188.04519313452,1150.07103853618,0
2.59,-0.13565270375397,0.0631624084511034,2.18581838525364,1188.04519313452,1150.07103853618,0
2.6,-0.0542610815015882,0,2.18613419729589,1188.04519313452,1150.07103853618,0
2.61,0.013565270375397,0,2.18613419729589,1188.04519313452,1150.07103853618,0
2.62,0.0368200195903634,0,2.18613419729589,1188.04519313452,1150.07103853618,0
2.63,0.0406958111261911,0,2.18613419729589,1188.04519313452,1150.07103853618,0
2.64,0.0213168534470525,0,2.18613419729589,1188.04519313452,1150.07103853618,0
2.65,0.00581368730374159,0,2.18613419729589,1188.04519313452,1150.07103853618,0
2.66,-0.00968947883956931,-0,2.18613419729589,1188.04519313452,1150.07103853618,0
2.67,-0.0193789576791386,-0.0665790244024516,2.18580130217388,1188.04519313452,1150.07103853618,0
2.68,-0.0368200195903634,-0.124557949229818,2.18484561730572,1188.04519313452,1150.07103853618,0
2.69,-0.0658884561090713,-0.167112024969504,2.18338726743472,1188.04519313452,1150.07103853618,0
2.7,-0.106584267235262,-0.208425314215299,2.1815095807388,1188.04519313452,1150.07103853618,0
2.71,-0.166659036040592,-0.250004014996539,2.17921743409274,1188.04519313452,1150.07103853618,0
2.72,-0.207354847166783,-0.318606893569103,2.17637437954991,1188.04519313452,1150.07103853618,0
2.73,-0.292622260954993,-0.365881877126408,2.17295193569643,1188.04519313452,1150.07103853618,0
2.74,-0.364324404367806,-0.395010608036613,2.16914747327062,1188.07709993491,1150.07103853618,0
2.75,-0.445716026620188,-0.432507509639001,2.16500988268224,1188.07709993491,1150.07103853618,0
2.76,-0.542610815015882,-0.462712244797415,2.16053378391006,1188.07709993491,1150.03890163867,0
2.77,-0.643381394947403,-0.516148492269398,2.15563948022472,1188.07709993491,1150.03890163867,0
